,adjclose,close,date,high,low,open,volume
0,14.140000343322754,14.140000343322754,2019-05-31,14.949999809265137,13.902000427246094,14.359999656677246,57200.0
1,14.430000305175781,14.430000305175781,2019-05-30,15.0,14.300000190734863,14.869999885559082,17800.0
2,14.899999618530273,14.899999618530273,2019-05-29,15.260000228881836,14.550000190734863,14.899999618530273,26700.0
3,14.949999809265137,14.949999809265137,2019-05-28,15.100000381469727,14.789999961853027,15.0,26700.0
4,14.949999809265137,14.949999809265137,2019-05-24,15.0,14.550000190734863,15.0,13100.0
5,15.0,15.0,2019-05-23,15.25,14.069999694824219,14.90999984741211,76500.0
6,14.819999694824219,14.819999694824219,2019-05-22,15.0,13.8100004196167,14.470000267028809,108800.0
7,13.819999694824219,13.819999694824219,2019-05-21,15.319999694824219,13.5,13.5,37500.0
8,13.40999984741211,13.40999984741211,2019-05-20,13.649999618530273,13.09000015258789,13.350000381469727,122000.0
9,13.300000190734863,13.300000190734863,2019-05-17,13.5,12.479999542236328,12.479999542236328,37800.0
10,12.5600004196167,12.5600004196167,2019-05-16,13.503000259399414,12.0,13.399999618530273,89800.0
11,13.350000381469727,13.350000381469727,2019-05-15,13.710000038146973,13.15999984741211,13.460000038146973,67400.0
12,13.520000457763672,13.520000457763672,2019-05-14,13.75,13.503000259399414,13.609999656677246,42300.0
13,13.550000190734863,13.550000190734863,2019-05-13,13.819999694824219,13.375,13.819999694824219,16500.0
14,14.0,14.0,2019-05-10,14.619999885559082,13.75,14.359999656677246,50200.0
15,14.300000190734863,14.300000190734863,2019-05-09,14.729999542236328,14.180000305175781,14.729999542236328,38700.0
16,14.380000114440918,14.380000114440918,2019-05-08,15.199999809265137,14.130999565124512,14.619999885559082,31500.0
17,14.260000228881836,14.260000228881836,2019-05-07,15.789999961853027,13.140000343322754,14.729999542236328,158400.0
18,14.880000114440918,14.880000114440918,2019-05-06,15.710000038146973,14.699999809265137,15.710000038146973,96700.0
19,15.90999984741211,15.90999984741211,2019-05-03,15.949999809265137,15.25,15.949999809265137,178700.0
20,15.949999809265137,15.949999809265137,2019-05-02,15.954000473022461,15.75,15.899999618530273,12800.0
21,15.930000305175781,15.930000305175781,2019-05-01,16.049999237060547,15.899999618530273,16.0,40600.0
22,15.949999809265137,15.949999809265137,2019-04-30,16.038000106811523,15.859999656677246,15.970000267028809,26900.0
23,15.899999618530273,15.899999618530273,2019-04-29,16.200000762939453,15.819999694824219,15.9399995803833,69700.0
24,15.6899995803833,15.6899995803833,2019-04-26,15.699999809265137,15.489999771118164,15.489999771118164,47200.0
25,15.569999694824219,15.569999694824219,2019-04-25,16.200000762939453,15.0,15.399999618530273,35600.0
26,15.399999618530273,15.399999618530273,2019-04-24,16.25,15.399999618530273,16.25,38700.0
27,16.209999084472656,16.209999084472656,2019-04-23,16.25,15.010000228881836,15.699999809265137,28800.0
28,15.649999618530273,15.649999618530273,2019-04-22,16.113000869750977,14.979999542236328,15.5,53700.0
29,15.449999809265137,15.449999809265137,2019-04-18,16.468000411987305,15.149999618530273,16.0,99200.0
30,16.0,16.0,2019-04-17,16.100000381469727,15.550000190734863,15.869999885559082,70300.0
31,15.65999984741211,15.65999984741211,2019-04-16,16.489999771118164,15.119999885559082,16.200000762939453,200800.0
32,16.0,16.0,2019-04-15,18.75,16.0,16.799999237060547,505200.0
33,16.059999465942383,16.059999465942383,2019-04-12,16.649999618530273,16.0,16.110000610351562,90000.0
34,16.0,16.0,2019-04-11,16.84000015258789,15.979999542236328,16.84000015258789,186800.0
35,16.219999313354492,16.219999313354492,2019-04-10,16.809999465942383,16.049999237060547,16.610000610351562,155100.0
36,16.600000381469727,16.600000381469727,2019-04-09,17.118000030517578,15.789999961853027,15.789999961853027,356800.0
37,15.789999961853027,15.789999961853027,2019-04-08,15.930000305175781,15.140000343322754,15.220000267028809,191700.0
38,15.100000381469727,15.100000381469727,2019-04-05,15.484999656677246,14.510000228881836,15.1899995803833,361300.0
39,14.699999809265137,14.699999809265137,2019-04-04,15.5,14.5,15.0,1995800.0
40,,,2019-04-03,,,,
41,,,2019-04-02,,,,
42,,,2019-04-01,,,,
43,,,2019-03-29,,,,
44,,,2019-03-28,,,,
45,,,2019-03-27,,,,
46,,,2019-03-26,,,,
47,,,2019-03-25,,,,
48,,,2019-03-22,,,,
49,,,2019-03-21,,,,
50,,,2019-03-20,,,,
51,,,2019-03-19,,,,
52,,,2019-03-18,,,,
53,,,2019-03-15,,,,
54,,,2019-03-14,,,,
55,,,2019-03-13,,,,
56,,,2019-03-12,,,,
57,,,2019-03-11,,,,
58,,,2019-03-08,,,,
59,,,2019-03-07,,,,
60,,,2019-03-06,,,,
61,,,2019-03-05,,,,
62,,,2019-03-04,,,,
63,,,2019-03-01,,,,
64,,,2019-02-28,,,,
65,,,2019-02-27,,,,
66,,,2019-02-26,,,,
67,,,2019-02-25,,,,
68,,,2019-02-22,,,,
69,,,2019-02-21,,,,
70,,,2019-02-20,,,,
71,,,2019-02-19,,,,
72,,,2019-02-15,,,,
73,,,2019-02-14,,,,
74,,,2019-02-13,,,,
75,,,2019-02-12,,,,
76,,,2019-02-11,,,,
77,,,2019-02-08,,,,
78,,,2019-02-07,,,,
