,adjclose,close,date,high,low,open,volume
0,9.399999618530273,9.399999618530273,2019-05-31,9.399999618530273,9.399999618530273,9.399999618530273,100
1,9.5,9.5,2019-05-30,9.5,9.5,9.5,0
2,9.5,9.5,2019-05-29,10.0,9.5,10.0,700
3,9.5,9.5,2019-05-28,10.0,9.25,9.25,1000
4,9.0,9.0,2019-05-24,9.0,9.0,9.0,200
5,9.25,9.25,2019-05-23,9.25,9.25,9.25,0
6,9.25,9.25,2019-05-22,9.25,9.25,9.25,0
7,9.25,9.25,2019-05-21,9.25,9.050000190734863,9.25,200
8,9.0,9.0,2019-05-20,9.0,9.0,9.0,100
9,9.0,9.0,2019-05-17,9.0,9.0,9.0,200
10,9.0,9.0,2019-05-16,9.0,9.0,9.0,100
11,9.0,9.0,2019-05-15,9.0,9.0,9.0,200
12,9.0,9.0,2019-05-14,9.0,9.0,9.0,300
13,8.5,8.5,2019-05-13,8.5,8.5,8.5,100
14,8.5,8.5,2019-05-10,9.0,8.5,8.5,800
15,6.0,6.0,2019-05-09,8.0,6.0,6.0,800
16,8.0,8.0,2019-05-08,8.0,8.0,8.0,500
17,8.100000381469727,8.100000381469727,2019-05-07,8.100000381469727,8.100000381469727,8.100000381469727,1000
18,9.0,9.0,2019-05-06,9.0,9.0,9.0,100
19,9.0,9.0,2019-05-03,9.0,9.0,9.0,200
20,10.199999809265137,10.199999809265137,2019-05-02,10.199999809265137,10.199999809265137,10.199999809265137,0
21,10.199999809265137,10.199999809265137,2019-05-01,10.199999809265137,10.199999809265137,10.199999809265137,0
22,10.199999809265137,10.199999809265137,2019-04-30,10.199999809265137,10.199999809265137,10.199999809265137,100
23,10.199999809265137,10.199999809265137,2019-04-29,10.199999809265137,9.0,9.0,1000
24,9.0,9.0,2019-04-26,9.5,9.0,9.0,500
25,9.5,9.5,2019-04-25,9.5,9.5,9.5,100
26,9.5,9.5,2019-04-24,9.5,9.0,9.0,600
27,9.0,9.0,2019-04-23,10.0,9.0,10.0,600
28,8.75,8.75,2019-04-22,8.75,8.75,8.75,300
29,10.199999809265137,10.199999809265137,2019-04-18,10.199999809265137,10.199999809265137,10.199999809265137,100
30,10.199999809265137,10.199999809265137,2019-04-17,10.199999809265137,9.5,9.5,300
31,10.199999809265137,10.199999809265137,2019-04-16,10.199999809265137,8.75,8.75,600
32,9.0,9.0,2019-04-15,10.199999809265137,9.0,10.199999809265137,700
33,10.199999809265137,10.199999809265137,2019-04-12,10.199999809265137,8.899999618530273,8.899999618530273,800
34,8.399999618530273,8.399999618530273,2019-04-11,9.5,6.25,6.25,5500
35,6.239999771118164,6.239999771118164,2019-04-10,6.239999771118164,6.239999771118164,6.239999771118164,100
36,6.239999771118164,6.239999771118164,2019-04-09,6.239999771118164,6.0,6.0,400
37,6.0,6.0,2019-04-08,6.0,5.789999961853027,5.789999961853027,400
38,5.760000228881836,5.760000228881836,2019-04-05,5.760000228881836,5.650000095367432,5.650000095367432,600
39,5.650000095367432,5.650000095367432,2019-04-04,5.650000095367432,5.650000095367432,5.650000095367432,200
40,7.099999904632568,7.099999904632568,2019-04-03,7.099999904632568,7.099999904632568,7.099999904632568,200
41,7.0,7.0,2019-04-02,7.0,7.0,7.0,100
42,7.0,7.0,2019-04-01,7.0,7.0,7.0,100
43,7.0,7.0,2019-03-29,7.0,7.0,7.0,100
44,7.0,7.0,2019-03-28,7.5,7.0,7.5,2100
45,7.0,7.0,2019-03-27,7.0,7.0,7.0,0
46,7.0,7.0,2019-03-26,7.010000228881836,7.0,7.010000228881836,1400
47,8.0,8.0,2019-03-25,8.0,8.0,8.0,100
48,9.0,9.0,2019-03-22,9.0,9.0,9.0,100
49,9.0,9.0,2019-03-21,9.0,9.0,9.0,100
